incident_type,location,date,time,summary,disposition,interesting,month_year
Suspicious Person,Price Center East,4/27/25,2:19 PM,Unhoused subject sitting on Library Walk,Information Only,f,Apr-25
Petty Theft - Micro Mobility Device,Café Ventanas,4/27/25,1:30 PM - 2:25 PM,Secured electric scooter stolen; loss of $300.00,Online Report Filed,f,Apr-25
Citizen Contact,Campus Emergency Services Building,4/27/25,5:19 PM,Property pick up,Service Provided,f,Apr-25
Suspicious Vehicle,La Jolla Farms Road,4/27/25,8:11 PM,Large U-Haul van driving around and possibly video taping houses,Information Only,f,Apr-25
Welfare Check,Gilman Parking Structure,4/27/25,8:39 PM,Subject passed out on side of road,Service Provided,f,Apr-25
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,4/27/25,9:22 PM - 9:26 PM,Secured electric scooter stolen; loss of $350.00,Report Taken,f,Apr-25
Grand Theft,Pepper Canyon Hall,4/27/25,8:30 PM - 10:30 PM,"Unattended backpack and laptop stolen from outside courtyard, loss $6,550.00",Report Taken,f,Apr-25
Suspicious Circumstances,Thornton Pavilion,4/28/25,7:35 PM - 9:20 PM,Patient reported domestic violence altercation at unknown location,Report Taken,t,Apr-25
Noise Disturbance,Gilman Dr,4/28/25,1:14 AM,Loud talking and sounds,Referred to Other Agency,f,Apr-25
Noise Disturbance,Scholars Dr N,4/28/25,1:22 AM,Stomping noises,Referred to Student Conduct,f,Apr-25
Burglary from Vehicle,Mesa Apartments,4/28/25,4:00 PM - 7:45 AM,"Subject forced utility vehicle open and stole property, loss $300.00",Report Taken,f,Apr-25
Petty Theft,Bookstore - PC West,4/28/25,8:55 AM,"Subject stole merchandise, loss $20.00",Report Taken,f,Apr-25
Disturbance,Regents Road,4/28/25,10:49 AM,Subject refusing to exchange information at accident scene,Referred to Other Agency,f,Apr-25
Petty Theft,Design and Innovation Bik Rack,4/28/25,9:15 AM - 11:45 AM,"Secured scooter stolen, loss $200.00",Online Report,f,Apr-25
Petty Theft,Ledden Auditorium,4/28/25,10:58 AM - 1:20 PM,"Unsecured bicycle stolen, loss $400.00",Online Report,f,Apr-25
Medical Aid,Gilman Dr,4/28/25,2:44 PM,Female fell,Logged Event,f,Apr-25
Citizen Contact,UCSD Police Department,4/28/25,3:26 PM,Subject in lobby inquiring about restraining order,Service Provided,t,Apr-25
Citizen Assist,Voigt Dr,4/28/25,8:14 PM,Subject in electric wheelchair ran out of battery,Gone on Arrival,f,Apr-25
Information Only,Seventh College East,4/28/25,10:19 PM - 10:46 PM,Burnt food,Report Taken,f,Apr-25
Welfare Check,Trolley - La Jolla Health Station,4/28/25,10:46 PM,Male requesting medics,Gone on Arrival,f,Apr-25
Noise Disturbance,Europe Hall,4/28/25,11:25 PM,Loud talking and stomping,Referred to Student Conduct,f,Apr-25
Information,Cuzco Hall,4/28/25,11:38 PM,Unknown person threw eggs near window,Information Only,t,Apr-25
Simple Assault,UCSD Medical Center - East County,4/28/25,6:40 AM,Subject threw orange juice and became aggressive,Hospital Security Report Taken,t,Apr-25
Noise Disturbance,Scholars Dr S,4/29/25,12:59 AM,Ball being bounced,Referred to Other Agency,f,Apr-25
Outside Warrant - Felony/ Drug Law Arrest / Bring Drugs to Jail,La Jolla Innovation Center,4/29/25,2:55 AM - 5:07 AM,Subject contacted for a curfew violation was found to have an outstanding warrant,Closed By Adult Arrest,t,Apr-25
Assist Other Agency,Naga Way/ Kennel Way,4/29/25,7:23 AM,Possible bones found on beach,Checks OK,f,Apr-25
Battery on Emergency Personnel / Violate Civil Rights,Campus Point Dr,4/29/25,7:30 AM,Patient attempted to assault nurse by striking her out of bias of nurses race,Disposition Report Taken,t,Apr-25
Petty Theft,Geisel Library,4/29/25,10:00 AM - 4:00 PM,"Unsecured bicycle stolen, loss $950.00",Online Report,f,Apr-25
Welfare Check,Café Ventanas,4/29/25,8:43 AM,Subject hanging out in area for several days,Checks OK,t,Apr-25
Welfare Check,Biomedical Sciences Way,4/29/25,10:14 AM,Male laying on sidewalk,Field Interview,f,Apr-25
Disturbance,Library Walk,4/29/25,11:47 AM,Subjects arguing with people about Islam,Checks OK,t,Apr-25
Information,Miramar St,4/29/25,1:24 PM,Non-Affiliate asking for food,Information Only,t,Apr-25
Medical Aid,Biomedical Sciences Way,4/29/25,1:35 PM,Non-Affiliate with chest pains,Referred to Other Agency,f,Apr-25
Outside Agency Warrant - Misdemeanor,Torrey Pines Gliderport,4/29/25,1:46 PM - 3:02 PM,Known subject contacted multiple times to leave campus,Closed By Adult Arrest,f,Apr-25
Welfare Check,Main GYM,4/29/25,2:40 PM,Caller unable to get ahold of son who was injured playing basketball,Information Only,f,Apr-25
Injury,Athena Parking,4/29/25,3:50 PM,Elder male fell and hit his head,Report Taken,t,Apr-25
Noise Disturbance,Argo Hall,4/29/25,11:32 PM,Loud stomping,Referred to Student Conduct,f,Apr-25
Property Damage,UCSD Medical Center - La Jolla,4/29/25,9:30 AM,Damage to parked vehicle,Hospital Security Report Taken,f,Apr-25
Welfare Check,International Lane,4/30/25,12:52 AM,Caller can hear female crying and items being thrown,Checks OK,f,Apr-25
Noise Disturbance,Gilman Dr,4/30/25,1:15 AM,Someone playing volleyball,Cancelled,f,Apr-25
Trespass,Biomedical Sciences Way,4/30/25,4:53 AM,Male sleeping inside building,Gone on Arrival,f,Apr-25
Petty Theft,Charles Keeling Apartments,4/30/25,9:00 PM - 7:55 AM,"Secured bicycle stolen, loss $250.00",Report Taken,f,Apr-25
Citizen Contact,Burning Man,4/30/25,8:21 AM,Subject started a fire in a makeshift pit,Service Provided,t,Apr-25
Petty Theft,Café Ventanas,4/30/25,10:00 AM - 10:00 AM,"Computer stolen from unlocked room, loss $200.00",Report Taken,f,Apr-25
Information,Gilman Parking Structure,4/30/25,8:49 AM,Non-Affiliate sitting on a desk in lobby,Service Provided,f,Apr-25
Citizen Assist,Gilman Parking Structure,4/30/25,9:12 AM,Subject in need of assistance exiting tight parking spot,Service Provided,f,Apr-25
Petty Theft,Europe Hall,4/30/25,12:00 AM - 8:35 AM,"Electric bicycle stolen, loss $800.00",Online Report,f,Apr-25
Petty Theft,Gilman Dr,4/30/25,12:15 PM,Reporting party found their SSN on dark web,Online Report,t,Apr-25
Grand Theft of Micro Mobility Device,Seventh College,4/30/25,12:25 PM,"Secured bicycle stolen, loss $2,500.00",Report Taken,f,Apr-25
Citizen Contact,UCSD Police Department,4/30/25,12:32 PM,Arrestee from case 2025-0809 picking up property,Information Only,f,Apr-25
Petty Theft,Sixth College Apartments,4/30/25,10:33 PM - 10:57 PM,"Two male subjects stole sign that had fallen, loss $49.99",Online Report,f,Apr-25
Grand Theft of Micro Mobility Device,Argo Hall,4/30/25,7:50 AM - 1:00 PM,"Secured electric bicycle stolen, loss $???",Report Taken,f,Apr-25
Traffic Hazard,Genesee Ave/ Interstate 5,4/30/25,2:35 PM,Subject running in and out of traffic,Referred to Other Agency,f,Apr-25
Petty Theft of Micro Mobility Device,Target - PC West,4/30/25,2:37 PM,"Secured electric scooter stolen, loss $???",Report Taken,f,Apr-25
Citizen Contact,UCSD Police Department,4/30/25,2:48 PM,Subject picking up property,Service Provided,f,Apr-25
Simple Assault,Jacobs Medical Center,4/30/25,3:13 PM,Patient hit two staff members,Information Only,t,Apr-25
Drug Law Arrest,Lot P510,4/30/25,3:19 PM - 4:00 PM,Subject exhibiting unseal behavior,Closed By Adult Arrest,t,Apr-25
Petty Theft of Mirco Mobility Device,Scholars Dr S/ Scholars Ln,4/30/25,5:00 AM - 10:00 AM,"Secured electric scooter stolen, loss $650.00",Report Taken,f,Apr-25
Vandalism,Mandeville Center,4/30/25,12:00 AM - 5:00 PM,"Bathroom vandalized with a sharpie and sticker, damage $500.00",Report Taken,f,Apr-25
Petty Theft - Bicycle,Parkdale Ave,4/30/25,5:00 PM - 5:50 PM,"Secured electric scooter stolen, loss $399.00",Online Report Filed,f,Apr-25
Noise Disturbance,Miramar St,4/30/25,10:20 PM,"Multiple people shouting, not in distress",Will Cooperate,f,Apr-25
Information,La Jolla Del Sol Apartments,4/30/25,11:31 PM,Subject slumped over in wheelchair,Checks OK,f,Apr-25
Trespass,Thornton Hospital,4/30/25,11:36 PM - 12:04 AM,Patient refused to leave hospital after being discharged,Closed By Adult Arrest,f,Apr-25
Trespass,UCSD Medical Center,4/30/25,3:11 AM,Discharged patient refusing to vacate premises,Referred to Other Agency,t,Apr-25
UC Policy Violation,Scholars Dr S,5/1/25,12:12 AM,Smoking contact,Referred to Student Conduct,f,May-25
Noise Disturbance,Gilman Parking Structure,5/1/25,1:53 AM,Subject talking loudly,Will Cooperate,f,May-25
Welfare Check,Muir Tennis Courts,5/1/25,3:41 AM,Subject with blanket walking barefoot,Gone on Arrival,f,May-25
Grand Theft,Trolley - La Jolla Health Station,5/1/25,8:29 AM,"Secured electric scooter stolen, loss $1,200.00",Report Taken,f,May-25
Stolen Property,Mobil Gas Station,5/1/25,10:22 AM,Caller tracked their stolen scooter,Unable to Locate,f,May-25
Injury,Tamarak Apartments,5/1/25,10:44 AM,Female fell and cut her chin,Referred to Other Agency,t,May-25
Vandalism,Tata Hall,5/1/25,8:00 AM - 1:29 PM,"Unknown suspect(s) damaged research equipment, loss $1,000.00",Report Taken,t,May-25
Information,Seventh College,5/1/25,2:29 PM,Older couple inquiring about who lived in certain apartment,Information Only,t,May-25
Injury,Muir Ln,5/1/25,3:45 PM,Male crashed into another skateboarder,Report Taken,t,May-25
UC Policy Violation,Scholars Dr S,5/1/25,6:21 PM,Skateboarders tick skating,Will Cooperate,f,May-25
Lost Property,Downtown,5/1/25,7:16 PM,Found student ID,Information Only,f,May-25
Excessive Alcohol,Trolley - Central Campus Station,5/1/25,10:05 PM - 10:32 PM,"Subject under the influence of alcohol, was unable to care for himself or others",Transported to Hospital,f,May-25
Noise Disturbance,Stewart Hall,5/2/25,12:12 AM,Loud gathering and laughing,Will Cooperate,f,May-25
Noise Disturbance,Cala,5/2/25,12:28 AM,Reports of upstairs unit making noise,Unable to Locate,f,May-25
Welfare Check,Tamarack Apartments,5/2/25,1:59 AM,Subject in restroom,Checks Ok,t,May-25
Noise Disturbance,Rya,5/2/25,2:51 AM,Loud thumping at location,Disposition Quiet on Arrival,f,May-25
Petty Theft - Micro Mobility Device,Parking Lot P783,5/2/25,Unknown,"Unsecured Electric Scooters Stolen; Loss $1,000",Online Report,f,May-25
Welfare Check,Matthews Quad,5/2/25,6:27 AM,Non-Affiliate sleeping at location,Verbal Warning Issued,f,May-25
Information,Thornton Pavilion,5/2/25,7:19 AM,Reporting party called to cancel fire department for fire alarm testing,Logged Event,f,May-25
Medical Aid,Trolley - La Jolla Health Station,5/2/25,7:27 AM,70 year old female with knee and shoulder pain after falling,Service Provided,f,May-25
Vandalism,Science and Engineering Research Facility,5/2/25,10:47 AM,Unknown suspect damaged door to basement; estimated cost of damaged $150.00,Report Taken,f,May-25
Grand Theft,Price Center,5/2/25,1:58 PM,"Unknown suspect(s) stole victims laptop; Loss $1,400.00",Report Taken,t,May-25
Medical Aid,Moore's Cancer Center,5/2/25,3:47 PM,Request for paramedics for a patient in distress,Referred to Other Agency,f,May-25
Welfare Check,Parking Lot P785,5/2/25,4:02 PM,Reports of an unknown subject at location possibly under the influence,Unable to Locate,t,May-25
Illegal Parking,Scholars Drive,5/2/25,4:15 PM,Vehicle blocking loading dock,Referred to Other Department - UCSD,f,May-25
Welfare Check,Campus Point Drive,5/2/25,5:19 PM,"Unknown female walking in roadway while saying ""emergency""",Checks Ok,f,May-25
Medical Aid,Moore's Cancer Center,5/2/25,6:00 PM,"Unknown female subject yelling for help, possibly intoxicated",Referred to Other Agency,t,May-25
Information Only,Tdlln - Sankofa,5/2/25,Unknown,"Unknown male denied wrist band for Sun God event, took band and fled scene",Report Taken,t,May-25
Citizen Contact,Campus Emergency Services Building,5/2/25,9:34 PM,Female requesting to speak with officer,Service Provided,f,May-25
Citizen Contact,Charles David Keeling,5/2/25,10:47 PM,Student sleeping inside,Checks Ok,f,May-25
Excessive Alcohol,Meteor Hall,5/2/25,11:58 PM - 1:35 AM,Intoxicated female lost conscious after falling,Report Taken,f,May-25
Outside Agency Arrest Warrant - Felony,La Jolla Village Dr/ Interstate 5 Northbound,5/3/25,10:49 AM,Non-affiliate male found illegally lodging in a makeshift campsite,Closed By Adult Arrest,f,May-25
SUN GOD FESTIVAL,**************************************** 12:00 PM - 6:00 PM******************************************,5/3/25,Unknown,Summary: 25 Cases Processed Through UCSD PD RIMAC Prisoner Processing,Transported to Detox / Closed by Adult Arrest,f,May-25
2025-0841 1:35 PM 647(g) PC - Public Intoxication Transported To Detox,2025-0842 1:20 PM 647(g) PC - Public Intoxication Transported To Detox,5/3/25,2:22 PM,2025-0849 2:25 PM Drug Law Arrest Closed by Adult Arrest 2025-0850 2:34 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0852 2:45 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0853 3:00 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0854 3:23 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0856 3:35 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0855 3:40 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0857 3:54 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0858 3:55 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0859 3:48 PM 647(f) PC - Public Intoxication Closed by Adult Arrest 2025-0860 3:56 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0861 4:05 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0863 4:14 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0864 4:16 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0865 4:35 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0866 4:45 PM 647(g) PC - Public Intoxication Transported To Detox 2025-0868 5:50 PM 647(g) PC - Public Intoxication Transported To Detox Excessive alcohol/Drug- Public Pangea Parking Date Reported 5/3/2025 Incident/Case# 2025-0844 Date Occurred 5/3/2025 Time Occurred 1:03 PM Summary: Intoxicated female found laying down on sidewalk,Transported to Hospital,t,May-25
"Disturbance, General",RIMAC Field,5/3/25,3:28 PM,Two males harassing females in line for one of the rides,Information Only,t,May-25
Welfare Check,Hopkins Parking,5/3/25,4:07 PM,2 females vomiting in the Par Course,Unable to Locate,t,May-25
Domestic Dispute Incident,Atkinson Hall,5/3/25,6:02 PM - 6:32 PM,Verbal argument only,Report Taken,f,May-25
"Disturbance, General",Pulse,5/3/25,7:04 PM,9 high school aged skateboarders by the basketball courts,Gone on Arrival,f,May-25
Citizen Assist,Thornton Pavilion,5/3/25,7:34 PM,Reporting party not wanting to wait 2 hours in emergency room,Service Provided,f,May-25
Suspicious Vehicle,Expedition Way,5/3/25,7:41 PM,Vehicle possibly matching description of vehicle involved in hit & run collision,Information Only,f,May-25
UC Policy Violation,Stewart Hall,5/3/25,8:24 PM,Group of 3 people smoking cigarettes,Unable To Locate,f,May-25
Possession of Marijuana,Seventh College,5/3/25,9:20 PM,Odor of Marijuana,Checks Ok,f,May-25
"Disturbance, Noise",Stewart Hall,5/3/25,9:39 PM,Screaming,Will Cooperate,f,May-25
"Disturbance, Noise",RYA,5/3/25,10:47 PM,Loud music and screaming,Will Cooperate,f,May-25
Disturbance - Psych Subject,Medical Center Dr,5/4/25,2:43 AM,Female feeling suicidal,Report Taken,f,May-25
Welfare Check,Scholars Dr S,5/4/25,9:44 AM,Non-Affiliate sitting on elevator floor,Checks OK,f,May-25
Welfare Check,Innovation Ln,5/4/25,9:44 AM,Non-Affiliate rolling around on the floor,Disposition Checks OK,f,May-25
Welfare Check,Argo Hall,5/4/25,1:12 PM,Subject with hands down pants and screaming,Will Cooperate,f,May-25
Missing Vehicle,Scholars Parking,5/4/25,4:27 PM,Caller unable to find where they parked their vehicle,Service Provided,f,May-25
Welfare Check,Price Center West,5/4/25,5:47 PM,Subject stated they are a victim of human trafficking,Checks OK,t,May-25
Tamper with Fire Alarm,Miramar St,5/4/25,5:00 PM - 7:30 PM,Unknown suspect(s) broke glass from fire extinguisher container,Report Taken,t,May-25
Petty Theft of Micro Mobility Device,Russell Ln,5/4/25,5:10 PM - 7:00 PM,"Secured electric scooter stolen, loss $460.00",Online Report Filed,f,May-25
Information,Thornton Hospital,5/4/25,7:21 PM,Subject advising they are not getting discharged by hospital staff,Logged Event,t,May-25
Petty Theft,Marshall Upper Apartments,5/4/25,2:00 PM - 5:00 PM,"Stolen wetsuit, loss $300.00",Online Report Filed,f,May-25
Petty Theft,Mesa Canyon Parking Structure,5/4/25,2:30 PM - 8:30 PM,"Secured bicycle stolen, loss $500.00",Report Taken,f,May-25
Petty Theft of Micro Mobility Device,Gilman Dr,5/4/25,6:38 AM - 7:00 AM,"Secured electric scooter stolen, loss $500.00",Online Report Filed,f,May-25
Discharging a Firearm,La Jolla Del Sol Apartments,5/4/25,9:16 PM,Shot spotter notification,Checks OK,f,May-25
Simple Assault,UCSD Medical Center - East Campus,5/4/25,9:15 AM,Patient kicked trash can at security guard,Hospital Security Report Taken,f,May-25
Simple Assault,UCSD Medical Center - East Campus,5/4/25,12:30 AM,Patient elbowed staff in the back,Hospital Security Report Taken,t,May-25
Attempt to Contact,Tdlln - Survivance,5/5/25,1:02 AM,Reporting party is parent who received a text from daughter who wasn't feeling well,Checks Ok,t,May-25
Noise Disturbance,Tapestry,5/5/25,1:04 AM,Subject playing the trumpet,Quiet on Arrival,f,May-25
Noise Disturbance,Seventh College,5/5/25,2:17 AM,Vehicle playing loud music,Gone on Arrival,f,May-25
Disturbance,Cresta,5/5/25,3:30 AM,Loud Party,Referred to Student Conduct,f,May-25
Suspicious Person,Israni Biomedical Research Facility,5/5/25,4:29 AM,Subject sleeping in the building,Gone on Arrival,f,May-25
Suspicious Person,Matthews Lane,5/5/25,6:30 AM,Vehicle with hazards on and driving slow,Disposition Information Only,f,May-25
Vandalism,Cala,5/5/25,Unknown,Unknown suspect(s) vandalized victim's property; estimated damaged is $0,Report Taken,t,May-25
Criminal Threat,Parking Lot P357,5/5/25,8:48 AM,Questions about text threats,Service Provided,f,May-25
Lost Property,Revelle,5/5/25,9:48 AM,Lost passport,Information Only,f,May-25
Suspicious Person,Gilman Parking,5/5/25,10:06 AM,Reporting party advising a male possibly engaging in unlawful activities,Gone on Arrival,t,May-25
Fraud,Stewart Hall,5/5/25,12:00 PM,"Unknown suspect(s) defrauded victim relating to a fake apartment posting; Loss $3,600",Report Taken,t,May-25
Medical Aid,Humanities and Social Sciences,5/5/25,11:25 AM,22 year old female feeling faint; conscious and breathing,Service Provided,f,May-25
Property Damage,Leichtag Family Foundation,5/5/25,12:16 PM,Refrigerator was slightly smoking,Report Taken,f,May-25
Petty Theft - Micro Mobility Device,Copa Vida Café,5/5/25,Unknown,Secured Scooter Stolen; Loss $600,Report Taken,f,May-25
Obtain Money by False Pretenses,Campus Emergency Services Building,5/5/25,12:00 PM,"Unknown suspect(s) defrauded victim relating to a fake apartment posting; Loss $3,600",Report Taken,t,May-25
General Disturbance,Triton Clubhouse,5/5/25,1:57 PM,Unknown subject throwing baseballs around refusing to leave,Field Interview,t,May-25
Property Damage,Transportation Annex,5/5/25,Unknown,Damage to UC owned vehicle,Report Taken,f,May-25
Welfare Check,Price Center,5/5/25,5:45 PM,Reporting party approached by an unknown male subject who is possibly under the influence,Unable to Locate,t,May-25
Fire,Trolley - La Jolla Health Station,5/5/25,Unknown,Unknown subject threw a cigarette into mulch causing a small fire,Report Taken,t,May-25
Noise Disturbance,Stewart Hall,5/5/25,11:16 PM,Subjects playing basketball,Quiet on Arrival,f,May-25
Noise Disturbance,Argo Hall,5/5/25,11:43 PM,Subjects talking loud,Quiet on Arrival,f,May-25
Assault,UCSD Medical Center - East,5/5/25,2:53 AM,Patient assaulted staff member,Hospital Incident Report Generated,t,May-25
Disturbance,UCSD Medical Center - East,5/5/25,8:45 AM,"Patient with aggressive behavior, relocated within hospital",Hospital Incident Report Generated,t,May-25
Theft from Vehicle,UCSD Medical Center - La Jolla,5/5/25,Unknown,Loss $400.00,Hospital Incident Report Generated,f,May-25
Noise Disturbance,Rya,5/6/25,1:01 AM,People being loud,Referred to Student Conduct,f,May-25
Vandalism,Extended Studies,5/6/25,2:01 AM,Doors at location off hinge,Checks Ok,f,May-25
Found Property,Equality Lane,5/6/25,2:07 AM,Found Wallet,Information Only,f,May-25
Suspicious Person,Israni Biomedical Research Facility,5/6/25,4:23 AM,Subject laying down on the couches,Gone on Arrival,f,May-25
Medical Aid,Kaleidoscope,5/6/25,6:51 AM,17 year old male struggling to breathe; conscious and breathing,Referred to Other Agency,t,May-25
Burglary,Parking Lot P702,5/6/25,7:37 AM,Unknown suspect forcefully entered victims vehicle without permission; Loss $403.00,Disposition Report Taken,t,May-25
Property Damage,Parking Lot P707,5/6/25,11:30 PM,Reporting party reporting damage to their vehicle,Report Taken,f,May-25
Information,Leichtag Family Foundation,5/6/25,9:35 AM,Lost female who is yelling at location,Information Only,f,May-25
Lost Property,Fred N. Spiess Hall,5/6/25,Unknown,Lost package,Report Taken,f,May-25
Welfare Check,Tenaya Hall,5/6/25,12:19 PM,Roommate concerned for suitemate who they haven't seen since yesterday,Checks Ok,t,May-25
Unknown Trouble,Pepper Canyon Apartments,5/6/25,2:50 PM,Reports of a female screaming in distress,Unable to Locate,f,May-25
Property Damage,Library Walk,5/6/25,4:07 PM,UC Golf cart vs Students backpack causing damage to laptop,Report Taken,f,May-25
Suspicious Person,Goldberg Apartments,5/6/25,9:23 PM,Subject sleeping in his vehicle,Checks Ok,f,May-25
Noise Disturbance,Cresta,5/6/25,10:55 PM,Loud Screaming,Quiet on Arrival,f,May-25
Petty Theft,Miramar Street,5/6/25,Unknown,Secured bicycle stolen; loss $199.00,Online Report Filed,f,May-25
Noise Disturbance,North America Hall,5/7/25,12:38 AM,Loud Stomping,Referred to Student Conduct,f,May-25
Noise Disturbance,Vela,5/7/25,12:39 AM,Loud voices & music,Will Cooperate,f,May-25
Reckless Driving,Scholars Drive,5/7/25,1:06 AM,Vehicles racing,Information Only,f,May-25
Vandalism,UCSD Medical Center - East,5/7/25,7:10 AM,Reports of patient causing property damage,Incident Report Generated,f,May-25
Injury,Main Gymnasium,5/7/25,Unknown,19 year old male fell off scooter; conscious and breathing,Report Taken,t,May-25
Collision with Injury,Gilman Drive,5/7/25,9:55 AM,20 year old female fell off bike; conscious and breathing,Report Taken,f,May-25
Welfare Check,Jacobs Medical Center,5/7/25,11:17 AM,Subject with ideations of harming themselves,Checks Ok,t,May-25
Suspicious Circumstance,Geisel Library,5/7/25,Unknown,Reporting party reporting concerning message written on a whiteboard at location,Report Taken,t,May-25
Animal Call,Ola Parking,5/7/25,Unknown,Reporting party bitten on leg by dog,Report Taken,t,May-25
Stay Away Order,Price Center,5/7/25,Unknown,"Non Affiliate contacted for yelling, cursing and saying racial slurs",Report Taken,t,May-25
Noise Disturbance,Pangea Parking,5/7/25,9:02 PM,Approximately 30 subjects drumming and setting off car alarms,Will Cooperate,f,May-25
Noise Disturbance,Rya,5/7/25,10:47 PM,Loud talking and laughing,Quiet On Arrival,f,May-25
Welfare Check,Tioga Hall,5/7/25,11:36 PM,Reports of 2 subjects in a verbal domestic dispute,Report Taken,t,May-25
Petty Theft - Micro Mobility Device,Innovation Lane,5/8/25,Unknown,Secured scooter stolen; loss $350.00,Online Report Filed,f,May-25
Noise Disturbance,Stewart Hall,5/8/25,12:07 AM,Subjects playing loudly,Gone on Arrival,f,May-25
Information,Blake Hall,5/8/25,12:20 AM,Women's toilet not flushing,Referred to Other Department - UCSD,t,May-25
Attempt to Contact,Catalyst,5/8/25,1:49 AM,Reporting party is a parent attempting to contact their son,Service Provided,t,May-25
General Disturbance,Thornton Pavilion,5/8/25,4:03 AM,Patient refusing to leave after being discharged,Information Only,t,May-25
University Curfew / Stay Away Order Issuance,Cala,5/8/25,Unknown,Non-affiliate male contacted for displaying erratic behavior,"Closed By Citation, Adult",t,May-25
Campus Security Authority Report,Thornton Pavilion,5/8/25,6:15 AM,Simple assault,Disposition CSA Report Filed,f,May-25
Petty Theft - Micro Mobility Device,Center Hall,5/8/25,Unknown,Secured scooter stolen; loss $250.00,Online Report Filed,f,May-25
Information Only Report,Sunshine Market,5/8/25,5:15 PM,Group of teenagers entered store and exploited loopholes in technology to avoid paying for $500 worth of merchandise on two occasions,Report Taken,f,May-25
Suspicious Person,Pepper Canyon,5/8/25,9:39 AM,Male that did not appear to be student seen intensely looking at bike racks,Unable to Locate,f,May-25
Theft from Motor Vehicle,Parking Lot P017,5/8/25,10:15 AM - 1:50 PM,Loss $675.00,Report Taken,f,May-25
Citizen Flagdown,Pepper Canyon Hall,5/8/25,11:17 AM,Citizen requesting directions,Service Provided,f,May-25
Vandalism,CAPA,5/8/25,5:45 PM,Graffiti on electrical box,Report Taken,f,May-25
Suspicious Person,Yogurt World,5/8/25,12:39 PM,"Adult male in front of location, speaking erratically",Checks OK,f,May-25
Throw Substance at Vehicle,9505 Scholars Dr South,5/8/25,3:15 AM - 3:25 AM,Male motorist threw water bottle at RP's vehicle,Report Taken,t,May-25
Parole Violation Arrest,Food Worx,5/8/25,4:58 PM - 4:59 PM,Non-affiliate male flagged down officer regarding getting kicked off trolley for sleeping,Closed By Adult Arrest,f,May-25
Tamper with Vehicle,Trolley - Central Campus Station,5/8/25,Unknown,Unknown suspect(s) tampered with electric scooter in an attempt to defeat the locking mechanism placed on scooter,Report Taken,t,May-25
Petty Theft,Gilman Drive,5/8/25,Unknown,Secured bicycle stolen; loss $400.00,Online Report,f,May-25
Report - Non Crime,Thurgood Marshall,5/8/25,Unknown,Someone threw poop in RP's shower caddy,Service Provided,t,May-25
Suspicious Circumstance,La Jolla Del Sol,5/8/25,11:39 PM,Reporting party thinks someone has been coming into her apartment over time when she is not there,Service Provided,t,May-25
Vandalism,UCSD Medical Center - Hillcrest,5/8/25,7:35 AM,Patient grabbed and threw a hospital owned computer to ground,Hospital Incident Report Generated,f,May-25
Attempted Larceny,UCSD Medical - Hillcrest,5/8/25,9:20 AM,Male in wheelchair placing food and drink items into his backpack,Hospital Incident Report Generated,f,May-25
Noise Disturbance,Scholars Dr South,5/9/25,12:45 AM,Loud stomping,Quiet on Arrival,f,May-25
Noise Disturbance,Scholars Dr N,5/9/25,1:39 AM,Talking and yelling,Will Cooperate,f,May-25
Noise Disturbance,Miramar St,5/9/25,2:10 AM,Laughing and talking loudly,Referred to Student Conduct,f,May-25
Battery,Lot P752,5/9/25,7:00 AM - 7:05 AM,Female reported a male subject grabbed her wrist and pulled her arm back during an encounter with subject at valet area,Report Taken,t,May-25
Petty Theft,Villa la Jolla Dr,5/9/25,1:30 PM - 1:40 PM,"Electric scooter battery stolen, loss $25.00",Report Taken,f,May-25
Traffic Hazard,Gilman Dr/ Theatre District Dr,5/9/25,3:08 PM,Left turn signal not working,Referred to Other UCSD Department,f,May-25
Theft from Vehicle,Scholars Parking,5/9/25,12:01 AM - 3:15 PM,"Stolen catalytic converter, loss $2,001.00",Report Taken,f,May-25
Petty Theft,Campus Point Dr,5/9/25,4:30 PM - 1:00 AM,"Unknown suspect(s) stole multiple bags of liquid soap from dispensers, loss $270.00",Report Taken,t,May-25
Invade Privacy: Concealed Video,Cognitive Sciences Building,5/9/25,5:55 PM - 6:00 PM,Unknown male suspect seen by witness using his phone to take a photo or recording under victim's dress,Report Taken,t,May-25
Attempt to Contact,Miramar St,5/9/25,7:28 PM,Parent hasn't spoken to student in a week,Cancelled,t,May-25
Citizen Contact,Gilman Dr,5/9/25,8:25 PM,Shining green laser pointers from top floor of building,Service Provided,f,May-25
